dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,51,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,52,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,53,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,54,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,55,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,56,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,57,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,58,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,59,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,60,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,61,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,62,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,63,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,64,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,65,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,66,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,67,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,68,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,69,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,70,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,71,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,72,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,73,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,74,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,75,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,76,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,77,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,78,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,79,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,80,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,81,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,82,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,83,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,84,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,85,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,86,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,87,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,88,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,89,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,90,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,91,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,92,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,93,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,94,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,95,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,96,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,97,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,98,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,99,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,100,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,101,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,102,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,103,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,104,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,105,2234,2147483647,2147483647,0,
