dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_costanytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,64,2.77221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,65,2.54021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,66,2.54021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,67,2.54021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,68,2.38021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,69,2.38021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,70,2.38021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,71,2.41221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,72,2.41221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,73,2.41221E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,74,2.38021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,75,2.38021E+13,2147483647,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,76,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,77,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,78,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,79,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,80,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,81,2.38021E+13,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,82,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,83,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,84,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,85,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,86,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,87,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,88,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,89,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,90,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,91,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,92,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,93,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,94,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,95,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,96,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,97,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,98,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,99,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,100,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,101,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,102,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,103,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,104,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,105,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,106,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,107,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,108,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,109,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,110,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,111,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,112,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,113,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,114,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,115,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,116,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,117,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,118,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,119,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,120,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,121,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,122,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,123,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,124,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,125,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,126,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,127,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,128,23802380,2380,1,0
