p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,0,12064
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,1,10175
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,2,9471
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,3,8792
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,4,8498
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,5,8093
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,6,8049
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,7,7953
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,8,7928
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,9,7780
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,10,7726
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,11,7726
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,12,7725
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,13,7666
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,14,7666
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,15,7664
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,16,7664
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,17,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,18,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,19,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,20,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,21,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,22,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,23,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,24,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,25,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,26,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,27,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,28,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,29,7595
0.0,false,10,0.0,dsaD0.4,0.2,1.0,1,30,7595
