p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,0,2147483647,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,1,1914,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,2,1914,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,3,1712,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,4,1712,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,5,1500,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,6,1970,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,7,1952,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,8,1880,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,9,1564,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,10,1364,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,11,1506,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,12,1506,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,13,1722,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,14,1410,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,15,1058,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,16,1240,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,17,1240,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,18,1210,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,19,1234,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,20,1038,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,21,1026,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,22,1026,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,23,822,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,24,792,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,25,1200,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,26,1270,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,27,1146,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,28,870,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,29,970,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,30,1098,2147483647,2147483647,1,0
1.0,true,5,0.0,,0.2,1.0,1,31,908,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,32,826,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,33,666,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,34,1066,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,35,806,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,36,800,2147483647,1212,1,0
1.0,true,5,0.0,,0.2,1.0,1,37,764,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,38,900,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,39,900,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,40,798,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,41,766,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,42,800,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,43,800,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,44,800,2147483647,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,45,832,806,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,46,832,806,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,47,832,806,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,48,914,678,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,49,832,678,678,1,0
1.0,true,5,0.0,,0.2,1.0,1,50,724,678,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,51,766,678,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,52,766,678,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,53,766,678,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,54,1028,678,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,55,718,906,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,56,718,906,660,1,0
1.0,true,5,0.0,,0.2,1.0,1,57,590,704,660,1,0
