algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.0,5,98,7335
dsa0.6,0.2,1.0,1,0.0,5,99,7335
dsa0.6,0.2,1.0,1,0.0,5,100,7335
dsa0.6,0.2,1.0,1,0.0,5,101,7335
dsa0.6,0.2,1.0,1,0.0,5,102,7335
dsa0.6,0.2,1.0,1,0.0,5,103,7335
dsa0.6,0.2,1.0,1,0.0,5,104,7335
dsa0.6,0.2,1.0,1,0.0,5,105,7335
dsa0.6,0.2,1.0,1,0.0,5,106,7335
dsa0.6,0.2,1.0,1,0.0,5,107,7335
dsa0.6,0.2,1.0,1,0.0,5,108,7335
dsa0.6,0.2,1.0,1,0.0,5,109,7335
dsa0.6,0.2,1.0,1,0.0,5,110,7335
dsa0.6,0.2,1.0,1,0.0,5,111,7335
dsa0.6,0.2,1.0,1,0.0,5,112,7335
dsa0.6,0.2,1.0,1,0.0,5,113,7335
dsa0.6,0.2,1.0,1,0.0,5,114,7335
dsa0.6,0.2,1.0,1,0.0,5,115,7335
dsa0.6,0.2,1.0,1,0.0,5,116,7335
dsa0.6,0.2,1.0,1,0.0,5,117,7335
dsa0.6,0.2,1.0,1,0.0,5,118,7335
dsa0.6,0.2,1.0,1,0.0,5,119,7335
dsa0.6,0.2,1.0,1,0.0,5,120,7335
dsa0.6,0.2,1.0,1,0.0,5,121,7335
dsa0.6,0.2,1.0,1,0.0,5,122,7335
dsa0.6,0.2,1.0,1,0.0,5,123,7335
dsa0.6,0.2,1.0,1,0.0,5,124,7335
dsa0.6,0.2,1.0,1,0.0,5,125,7335
dsa0.6,0.2,1.0,1,0.0,5,126,7335
dsa0.6,0.2,1.0,1,0.0,5,127,7335
dsa0.6,0.2,1.0,1,0.0,5,128,7335
dsa0.6,0.2,1.0,1,0.0,5,129,7335
dsa0.6,0.2,1.0,1,0.0,5,130,7335
dsa0.6,0.2,1.0,1,0.0,5,131,7335
dsa0.6,0.2,1.0,1,0.0,5,132,7335
dsa0.6,0.2,1.0,1,0.0,5,133,7335
dsa0.6,0.2,1.0,1,0.0,5,134,7335
dsa0.6,0.2,1.0,1,0.0,5,135,7335
dsa0.6,0.2,1.0,1,0.0,5,136,7335
dsa0.6,0.2,1.0,1,0.0,5,137,7335
dsa0.6,0.2,1.0,1,0.0,5,138,7335
dsa0.6,0.2,1.0,1,0.0,5,139,7335
dsa0.6,0.2,1.0,1,0.0,5,140,7335
dsa0.6,0.2,1.0,1,0.0,5,141,7335
dsa0.6,0.2,1.0,1,0.0,5,142,7335
dsa0.6,0.2,1.0,1,0.0,5,143,7335
dsa0.6,0.2,1.0,1,0.0,5,144,7335
dsa0.6,0.2,1.0,1,0.0,5,145,7335
dsa0.6,0.2,1.0,1,0.0,5,146,7335
dsa0.6,0.2,1.0,1,0.0,5,147,7335
dsa0.6,0.2,1.0,1,0.0,5,148,7335
dsa0.6,0.2,1.0,1,0.0,5,149,7335
